experiment,layer,coverage,center_dist
best-t1,all,0.04723227,0.8261343897320148
best-t1,10,0.0,0.4022898663105212
best-t1,16,0.060659397,0.39553083236609426
best-t1,19,0.020611858,0.46876027295792033
best-t1,22,0.06328211,0.3924164223717844
best-t1,10,0.0006461399,1.740894587315892
best-t1,16,0.053903602,1.0399643285779618
best-t1,19,0.17152925,1.2688605341249581
best-t1,22,0.0072258073,0.9003582738309863
best-t2.1-alpha,all,0.08792957,0.7707156097773592
best-t2.1-alpha,10,0.000118484815,0.42182199345010873
best-t2.1-alpha,16,0.41144454,0.4027648352102693
best-t2.1-alpha,19,0.13757761,0.3918879112005272
best-t2.1-alpha,22,0.060243927,0.528285126960068
best-t2.1-alpha,10,0.0,1.771775427041099
best-t2.1-alpha,16,0.016309148,0.7963845325970293
best-t2.1-alpha,19,0.03305015,0.8727146919481706
best-t2.1-alpha,22,0.04469272,0.9800903598116006
best-t2.2-gauss,all,0.16473947,0.5966321835220182
best-t2.2-gauss,10,0.0009958646,0.3515588103487252
best-t2.2-gauss,16,0.07203465,0.3868026570400978
best-t2.2-gauss,19,0.34222618,0.38555669992358926
best-t2.2-gauss,22,0.7191658,0.38713526812696814
best-t2.2-gauss,10,0.06015983,0.3549630229046579
best-t2.2-gauss,16,0.028050909,0.6895712685134806
best-t2.2-gauss,19,0.037438262,0.5543946882912676
best-t2.2-gauss,22,0.05784436,1.663075053027359
best-t2.3-poisson,all,0.10832635,0.8950627938074041
best-t2.3-poisson,10,0.022543414,0.6090086802941446
best-t2.3-poisson,16,0.32134503,0.38812488146200325
best-t2.3-poisson,19,0.39287084,0.403022236764825
best-t2.3-poisson,22,0.05860061,0.3901659156880313
best-t2.3-poisson,10,0.0,1.5901491324174144
best-t2.3-poisson,16,0.047524173,0.859831472610974
best-t2.3-poisson,19,0.019474762,1.1094032348492013
best-t2.3-poisson,22,0.0042520533,1.8107967963726381
best-t2.4-pyramid,all,0.022800803,0.7713580394468229
best-t2.4-pyramid,10,0.00097414386,0.6212151134940621
best-t2.4-pyramid,16,0.04279376,0.39071859093998934
best-t2.4-pyramid,19,0.013135798,0.504482313517202
best-t2.4-pyramid,22,0.008010551,0.6662558926261838
best-t2.4-pyramid,10,0.0,1.4115895412402357
best-t2.4-pyramid,16,0.020023752,0.8766032479624267
best-t2.4-pyramid,19,0.06633583,0.6561036630162129
best-t2.4-pyramid,22,0.031132588,1.043895952778271
best-t3-multi,all,0.13296145,0.6989771714389837
best-t3-multi,10,0.0,0.37313065371013265
best-t3-multi,16,0.5574155,0.40930739554033685
best-t3-multi,19,0.41542953,0.39439006320049613
best-t3-multi,22,0.010997332,0.44553397134863104
best-t3-multi,10,0.0,1.6833125748517643
best-t3-multi,16,0.019513441,0.9074953458767099
best-t3-multi,19,0.049740754,0.39162381146238434
best-t3-multi,22,0.010595058,0.9870235555214152
